Rank,Player (Bye),POS,AVG
1,Jahmyr Gibbs   DET (6),RB,1.3
2,Bijan Robinson   ATL (11),RB,2.3
3,Ja'Marr Chase   CIN (6),WR,3.8
4,Puka Nacua   LAR (11),WR,4.4
5,Christian McCaffrey   SF (8),RB,6.4
6,Jaxon Smith-Njigba   SEA (11),WR,6.5
7,Jonathan Taylor   IND (13),RB,6.5
8,Amon-Ra St. Brown   DET (6),WR,7.8
9,James Cook III   BUF (7),RB,10.2
10,CeeDee Lamb   DAL (14),WR,11.2
11,Justin Jefferson   MIN (6),WR,12.5
12,De'Von Achane   MIA (6),RB,12.8
13,Saquon Barkley   PHI (10),RB,14.5
14,Chase Brown   CIN (6),RB,15.4
15,Derrick Henry   BAL (13),RB,16.2
16,Drake London   ATL (11),WR,18.4
17,Omarion Hampton   LAC (7),RB,19.3
18,Kenneth Walker III   KC (5),RB,19.9
19,A.J. Brown   NE (11),WR,20.6
20,Ashton Jeanty   LV (13),RB,20.6
21,Nico Collins   HOU (8),WR,22.4
22,George Pickens   DAL (14),WR,23.6
23,Josh Allen   BUF (7),QB,24.3
24,Brock Bowers   LV (13),TE,26.4
25,Chris Olave   NO (8),WR,26.6
26,Trey McBride   ARI (14),TE,27.7
27,Jeremiyah Love   ARI (14),RB,27.8
28,Rashee Rice   KC (5),WR,27.8
29,Malik Nabers   NYG (8),WR,30.8
30,Kyren Williams   LAR (11),RB,31.3
31,DeVonta Smith   PHI (10),WR,31.6
32,Javonte Williams   DAL (14),RB,32.1
33,Breece Hall   NYJ (13),RB,33.5
34,Zay Flowers   BAL (13),WR,34.6
35,Garrett Wilson   NYJ (13),WR,36.7
36,Tetairoa McMillan   CAR (5),WR,38.8
37,Travis Etienne Jr.   NO (8),RB,38.9
38,Tee Higgins   CIN (6),WR,41.2
39,Cam Skattebo   NYG (8),RB,41.8
40,Lamar Jackson   BAL (13),QB,42.4
41,Emeka Egbuka   TB (10),WR,42.5
42,Ladd McConkey   LAC (7),WR,43.2
43,Colston Loveland   CHI (10),TE,45.1
44,Jaylen Waddle   DEN (10),WR,45.5
45,D'Andre Swift   CHI (10),RB,46.8
46,Drake Maye   NE (11),QB,48.6
47,Davante Adams   LAR (11),WR,48.7
48,Quinshon Judkins   CLE (11),RB,50.5
49,Bucky Irving   TB (10),RB,51.6
50,Joe Burrow   CIN (6),QB,52.8
51,DJ Moore   BUF (7),WR,54.4
52,Tyler Warren   IND (13),TE,54.7
53,Terry McLaurin   WAS (7),WR,54.8
54,David Montgomery   HOU (8),RB,55.7
55,Jameson Williams   DET (6),WR,58.2
56,Bhayshul Tuten   JAC (7),RB,59.2
57,Luther Burden III   CHI (10),WR,60.7
58,Jayden Daniels   WAS (7),QB,61.2
59,Jalen Hurts   PHI (10),QB,61.7
60,Rome Odunze   CHI (10),WR,63.3
61,Jadarian Price   SEA (11),RB,65.0
62,Dak Prescott   DAL (14),QB,70.1
63,TreVeyon Henderson   NE (11),RB,70.2
64,Mike Evans   SF (8),WR,70.7
65,Christian Watson   GB (11),WR,71.0
66,Rhamondre Stevenson   NE (11),RB,71.0
67,Harold Fannin Jr.   CLE (11),TE,71.5
68,Kyle Pitts Sr.   ATL (11),TE,73.9
69,Marvin Harrison Jr.   ARI (14),WR,74.4
70,Jaylen Warren   PIT (9),RB,74.5
71,Parker Washington   JAC (7),WR,75.7
72,DK Metcalf   PIT (9),WR,78.4
73,Caleb Williams   CHI (10),QB,78.7
74,George Kittle   SF (8),TE,79.9
75,Sam LaPorta   DET (6),TE,79.9
76,Tony Pollard   TEN (9),RB,80.3
77,Carnell Tate   TEN (9),WR,81.3
78,Courtland Sutton   DEN (10),WR,83.8
79,Tucker Kraft   GB (11),TE,84.9
80,Josh Jacobs   GB (11),RB,85.5
81,Justin Herbert   LAC (7),QB,86.2
82,Rico Dowdle   PIT (9),RB,86.5
83,Matthew Stafford   LAR (11),QB,89.1
84,Brian Thomas Jr.   JAC (7),WR,90.2
85,Alec Pierce   IND (13),WR,90.3
86,Trevor Lawrence   JAC (7),QB,92.3
87,Chuba Hubbard   CAR (5),RB,93.8
88,Michael Wilson   ARI (14),WR,93.8
89,Jonathon Brooks   CAR (5),RB,94.6
90,Houston Texans   HOU (8),DST,95.0
91,Los Angeles Rams   LAR (11),DST,95.4
92,Denver Broncos   DEN (10),DST,96.2
93,Michael Pittman Jr.   PIT (9),WR,96.4
94,Brock Purdy   SF (8),QB,96.8
95,J.K. Dobbins   DEN (10),RB,97.4
96,Brandon Aubrey   DAL (14),K,98.5
97,Jaxson Dart   NYG (8),QB,98.5
98,Travis Kelce   KC (5),TE,98.8
99,Chris Godwin Jr.   TB (10),WR,99.0
100,MarShawn Lloyd   GB (11),RB,100.5
101,Seattle Seahawks   SEA (11),DST,101.3
102,Stefon Diggs   WAS (7),WR,102.5
103,Kenny Gainwell   TB (10),RB,104.1
104,Bo Nix   DEN (10),QB,104.6
105,Patrick Mahomes II   KC (5),QB,106.4
106,Dallas Goedert   PHI (10),TE,108.6
107,Wan'Dale Robinson   TEN (9),WR,109.8
108,Quentin Johnston   LAC (7),WR,111.0
109,RJ Harvey   DEN (10),RB,111.4
110,Josh Downs   IND (13),WR,112.0
111,Jordan Addison   MIN (6),WR,112.2
112,Jakobi Meyers   JAC (7),WR,114.0
113,Matthew Golden   GB (11),WR,114.1
114,Jayden Reed   GB (11),WR,114.1
115,Ricky Pearsall   SF,WR,115.0
116,Aaron Jones Sr.   MIN (6),RB,115.6
117,Kyle Monangai   CHI (10),RB,115.8
118,Blake Corum   LAR (11),RB,116.5
119,Jared Goff   DET (6),QB,117.4
120,Jacory Croskey-Merritt   WAS (7),RB,119.0
