Rank,Player,Team,POS,NAT,AVG
1,Nathan Rourke,BC,QB,Y,5
2,James Butler,BC,RB,,7
3,Justin Rankin,EDM,RB,,10
4,Keon Hatcher,BC,WR,,9
5,Dedrick Mills,CGY,RB,,9
6,Brady Oliveira,WPG,RB,Y,6
7,Kenny Lawler,HAM,WR,,12
8,Greg Bell,OTT,RB,,15
9,A.J. Ouellette,SSK,RB,,11
10,Lirim Hajrullahu,TOR,K,Y,17
11,Jose Maltos Diaz,MTL,K,,23
12,Bo Levi Mitchell,HAM,QB,,12
13,KeeSean Johnson,SSK,WR,,19
14,Sergio Castillo,WPG,K,,25
15,Justin McInnis,BC,WR,Y,17
16,Kiondre Smith,HAM,WR,Y,21
17,Tyler Snead,MTL,WR,,26
18,Kevin Mital,TOR,WR,Y,28
19,Marc Liegghio,HAM,K,Y,33
20,Tim White,WPG,WR,,22
21,Cody Fajardo,EDM,QB,,25
22,Justin Hardy,OTT,WR,,26
23,Vernon Adams Jr.,CGY,QB,,26
24,Sean Whyte,BC,K,Y,42
25,Roughriders,SSK,DST,,29
26,Eugene Lewis,OTT,WR,,29
27,Nic Demski,WPG,WR,Y,28
28,Dustin Crum,MTL,QB,,38
29,Rene Paredes,CGY,K,Y,52
30,Stampeders,CGY,DST,,38
31,Dejon Brissett,CGY,WR,Y,38
32,Nick Arbuckle,TOR,QB,,46
33,Tiger-Cats,HAM,DST,,43
34,Trevor Harris,SSK,QB,,33
35,Jalen Philpot,CGY,WR,Y,35
36,Alouettes,MTL,DST,,39
37,Kurleigh Gittens Jr.,HAM,WR,Y,38
38,Tyson Philpot,MTL,WR,Y,34
39,Vincent Blanchard,EDM,K,Y,77
40,Kaion Julien-Grant,EDM,WR,Y,43
41,Kalil Pimpleton,OTT,WR,,44
42,Damonte Coxie,TOR,WR,,39
43,Erik Brooks,CGY,WR,,50
44,Brett Lauther,OTT,K,,71
45,Ayden Eberhardt,OTT,WR,,45
46,Blue Bombers,WPG,DST,,52
47,Jake Herslow,TOR,WR,Y,51
48,Stanley Berryhill,BC,WR,,52
49,Lions,BC,DST,,62
50,Jevon Cottoy,BC,WR,Y,51
51,Argonauts,TOR,DST,,69
52,David Ungerer III,TOR,WR,Y,53
53,Austin Mack,EDM,WR,,48
54,Cole Spieker,MTL,WR,,52
55,Keric Wheatfall,HAM,WR,,60
56,Tevin Jones,CGY,WR,,58
57,Zach Collaros,WPG,QB,,55
58,Jerreth Sterns,MTL,WR,,62
59,Samuel Emilus,SSK,WR,Y,46
60,Clark Barnes,CGY,WR,,62
61,Tommy Nield,WPG,WR,,61
62,Joe Robustelli,EDM,WR,,67
63,Keelan White,OTT,WR,,68
64,Davis Alexander,MTL,QB,,57
65,REDBLACKS,OTT,DST,,75
66,Elks,EDM,DST,,75
67,Daniel Adeboboye,OTT,RB,Y,59
68,Kevens Clercius,WPG,WR,Y,70
69,Dru Brown,OTT,QB,,69
70,Stevie Scott III,MTL,RB,,60
71,Makai Polk,TOR,WR,,68
72,Shemar Bridges,HAM,WR,,69
73,Travis Theis,MTL,RB,,68
74,Binjimen Victor,EDM,WR,,71
75,Ontaria Wilson,WPG,WR,,67
76,Dhel Duncan-Busby,SSK,WR,Y,73
77,Brendan O'Leary-Orange,EDM,WR,Y,72
78,Tre Ford,HAM,QB,Y,75
79,Matthew Peterson,WPG,RB,Y,72
80,Deonta McMahon,CGY,RB,,73
81,Javon Leake,EDM,RB,,70
82,Tommy Stevens,SSK,QB,,77
83,Johnny Augustine,HAM,RB,Y,72
84,Zander Horvath,BC,RB,,76
85,Kian Schaffer-Baker,SSK,WR,Y,70
