RK,PLAYER NAME,TEAM,POS,NAT,GP,PTS,PPG
1,Keon Hatcher,BC,WR,,18,325.8,18.1
2,Kenny Lawler,HAM,WR,,18,316.3,17.57
3,Nathan Rourke,BC,QB,Y,16,421.8,26.36
4,Brady Oliveira,WPG,RB,Y,15,249.9,16.66
5,James Butler,BC,RB,,17,287.3,16.9
6,Justin Rankin,EDM,RB,,18,306.6,17.03
7,Justin McInnis,BC,WR,Y,18,246.6,13.7
8,Nic Demski,WPG,WR,Y,15,218.8,14.59
9,Damonte Coxie,TOR,WR,,10,171.4,17.14
10,Tyson Philpot,MTL,WR,Y,12,173.3,14.44
11,Dedrick Mills,CGY,RB,,18,269.1,14.95
12,KeeSean Johnson,SSK,WR,,16,232.5,14.53
13,Samuel Emilus,SSK,WR,Y,7,109.8,15.69
14,Bo Levi Mitchell,HAM,QB,,18,353.24,19.62
15,Kiondre Smith,HAM,WR,Y,18,228.1,12.67
16,Austin Mack,EDM,WR,,12,127.4,10.62
17,Justin Hardy,OTT,WR,,18,224.7,12.48
18,Eugene Lewis,OTT,WR,,18,217.2,12.07
19,Reggie Begelton,CGY,WR,,2,12.5,6.25
20,A.J. Ouellette,SSK,RB,,17,240.2,14.13
21,Vernon Adams Jr.,CGY,QB,,17,272.08,16.0
22,Tyler Snead,MTL,WR,,17,226.76,13.34
23,Jake Herslow,TOR,WR,Y,12,199.1,16.59
24,Tim White,WPG,WR,,18,241.6,13.42
25,Siaosi Mariner,SSK,WR,,0,0.0,0.0
26,Jalen Philpot,CGY,WR,Y,16,176.4,11.03
27,Kaion Julien-Grant,EDM,WR,Y,18,186.4,10.36
28,Ontaria Wilson,WPG,WR,,6,77.2,12.87
29,Kevin Mital,TOR,WR,Y,18,219.8,12.21
30,Makai Polk,TOR,WR,,7,79.6,11.37
31,Roughriders,SSK,DST,,18,169.0,9.4
32,Tiger-Cats,HAM,DST,,18,147.0,8.2
33,Dejon Brissett,CGY,WR,Y,16,174.9,10.93
34,Kurleigh Gittens Jr.,HAM,WR,Y,16,165.2,10.33
35,Cody Fajardo,EDM,QB,,17,252.22,14.84
36,Greg Bell,OTT,RB,,15,243.9,16.26
