PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Jahmyr Gibbs,DET,RB,6,2,1,5.5,1.3
Bijan Robinson,ATL,RB,11,4,2,5.6,2.4
Ja'Marr Chase,CIN,WR,6,1,3,5.4,4.3
Puka Nacua,LAR,WR,11,3,4,5.5,5.2
Jonathan Taylor,IND,RB,13,11,5,5.8,6.2
Jaxon Smith-Njigba,SEA,WR,11,5,6,5.5,6.4
Christian McCaffrey,SF,RB,8,8,7,5.5,7.6
Amon-Ra St. Brown,DET,WR,6,6,8,5.4,8.5
James Cook III,BUF,RB,7,13,9,5.6,10.2
CeeDee Lamb,DAL,WR,14,9,10,5.4,11.5
Justin Jefferson,MIN,WR,6,7,11,5.3,12.3
De'Von Achane,MIA,RB,6,21,12,5.8,13.4
Saquon Barkley,PHI,RB,10,25,13,5.7,14.1
Derrick Henry,BAL,RB,13,38,14,6.7,16.5
Omarion Hampton,LAC,RB,7,26,15,6.2,17.8
Chase Brown,CIN,RB,6,16,16,5.6,17.9
Josh Allen,BUF,QB,7,24,17,5.5,18.9
Drake London,ATL,WR,11,10,18,5.3,20.8
A.J. Brown,NE,WR,11,12,19,5.4,21.5
Ashton Jeanty,LV,RB,13,28,20,5.8,21.6
Trey McBride,ARI,TE,14,17,21,5.4,23.5
Brock Bowers,LV,TE,13,19,22,5.4,23.9
Kenneth Walker III,KC,RB,5,23,23,5.4,24.3
Jeremiyah Love,ARI,RB,14,40,24,6.6,25.3
Nico Collins,HOU,WR,8,15,25,5.3,25.9
George Pickens,DAL,WR,14,18,26,5.2,28.3
Rashee Rice,KC,WR,5,29,27,5.4,29.2
Chris Olave,NO,WR,8,14,28,5.3,29.8
Javonte Williams,DAL,RB,14,43,29,6.2,32.5
Lamar Jackson,BAL,QB,13,27,30,5.0,32.9
Kyren Williams,LAR,RB,11,41,31,5.8,34.8
Breece Hall,NYJ,RB,13,39,32,5.8,35.8
Malik Nabers,NYG,WR,8,22,33,5.0,35.9
DeVonta Smith,PHI,WR,10,20,34,4.7,36.2
Garrett Wilson,NYJ,WR,13,30,35,5.7,37.1
Travis Etienne Jr.,NO,RB,8,46,36,6.1,39.4
Colston Loveland,CHI,TE,10,35,37,5.4,42.1
Tetairoa McMillan,CAR,WR,5,37,38,5.5,43.1
Zay Flowers,BAL,WR,13,31,39,5.3,43.8
Emeka Egbuka,TB,WR,10,42,40,5.8,45.6
Cam Skattebo,NYG,RB,8,60,41,6.2,45.6
Davante Adams,LAR,WR,11,49,42,5.8,46.1
Ladd McConkey,LAC,WR,7,33,43,5.3,46.5
Drake Maye,NE,QB,11,32,44,4.4,46.5
Quinshon Judkins,CLE,RB,11,62,45,6.9,47.9
Tyler Warren,IND,TE,13,51,46,5.3,51.3
Jayden Daniels,WAS,QB,7,50,47,5.2,52.3
Joe Burrow,CIN,QB,6,45,48,4.9,52.7
Tee Higgins,CIN,WR,6,36,49,5.1,53.2
D'Andre Swift,CHI,RB,10,52,50,5.8,53.6
Jalen Hurts,PHI,QB,10,56,51,5.1,53.7
Jaylen Waddle,DEN,WR,10,34,52,5.0,53.8
Bucky Irving,TB,RB,10,55,53,5.6,56.6
DJ Moore,BUF,WR,7,53,54,5.6,58.6
Terry McLaurin,WAS,WR,7,47,55,5.4,61.1
David Montgomery,HOU,RB,8,57,56,6.1,62.6
Bhayshul Tuten,JAC,RB,7,65,57,6.7,62.9
Jameson Williams,DET,WR,6,48,58,5.4,64.5
Jadarian Price,SEA,RB,11,67,59,6.3,66.5
Rome Odunze,CHI,WR,10,63,60,5.7,68.5
Kyle Pitts Sr.,ATL,TE,11,77,61,5.6,68.7
George Kittle,SF,TE,8,94,62,6.7,68.9
Harold Fannin Jr.,CLE,TE,11,70,63,5.5,70.6
Dak Prescott,DAL,QB,14,80,64,5.9,72.0
Luther Burden III,CHI,WR,10,44,65,4.6,75.0
Sam LaPorta,DET,TE,6,82,66,5.1,75.2
Rhamondre Stevenson,NE,RB,11,71,67,6.0,76.7
TreVeyon Henderson,NE,RB,11,69,68,5.8,79.3
Marvin Harrison Jr.,ARI,WR,14,68,69,5.7,79.8
Brandon Aubrey,DAL,K,,,70,,81.6
Carnell Tate,TEN,WR,9,61,71,5.6,81.6
Jaxson Dart,NYG,QB,8,101,72,6.1,81.8
Courtland Sutton,DEN,WR,10,79,73,5.9,82.5
Mike Evans,SF,WR,8,58,74,5.5,83.4
Caleb Williams,CHI,QB,10,64,75,4.0,85.4
Jaylen Warren,PIT,RB,9,75,76,5.7,85.7
Justin Herbert,LAC,QB,7,72,77,5.1,85.7
Tony Pollard,TEN,RB,9,84,78,6.9,86.4
DK Metcalf,PIT,WR,9,74,79,5.9,86.4
Christian Watson,GB,WR,11,54,80,4.4,89.2
Parker Washington,JAC,WR,7,59,81,4.5,90.9
Tucker Kraft,GB,TE,11,85,82,4.2,91.0
Michael Pittman Jr.,PIT,WR,9,73,83,6.2,91.0
Houston Texans,HOU,DST,,,84,,92.2
Matthew Stafford,LAR,QB,11,110,85,4.8,93.6
Travis Kelce,KC,TE,5,90,86,4.8,93.8
Rico Dowdle,PIT,RB,9,81,87,5.6,97.8
Denver Broncos,DEN,DST,,,88,,98.0
Los Angeles Rams,LAR,DST,,,89,,98.0
Kenny Gainwell,TB,RB,10,93,90,7.2,100.5
Josh Jacobs,GB,RB,11,152,91,6.3,101.2
Dallas Goedert,PHI,TE,10,126,92,6.3,101.5
Trevor Lawrence,JAC,QB,7,76,93,4.0,103.5
Bo Nix,DEN,QB,10,97,94,4.5,104.4
Alec Pierce,IND,WR,13,106,95,5.7,104.7
Stefon Diggs,WAS,WR,7,95,96,6.7,104.8
MarShawn Lloyd,GB,RB,11,99,97,10.0,105.0
Jonathon Brooks,CAR,RB,5,87,98,5.9,105.5
Michael Wilson,ARI,WR,14,88,99,5.5,105.7
Brock Purdy,SF,QB,8,92,100,5.2,108.7
Patrick Mahomes II,KC,QB,5,98,101,4.9,109.6
Cameron Dicker,LAC,K,,,102,,110.2
J.K. Dobbins,DEN,RB,10,104,103,5.6,111.8
Chuba Hubbard,CAR,RB,5,100,104,5.8,112.0
Wan'Dale Robinson,TEN,WR,9,83,105,6.1,112.1
Seattle Seahawks,SEA,DST,,,106,,112.5
Jason Myers,SEA,K,,,107,,113.1
Brian Thomas Jr.,JAC,WR,7,78,108,4.2,113.3
Jake Ferguson,DAL,TE,14,122,109,5.6,115.3
Matthew Golden,GB,WR,11,124,110,7.0,115.9
Aaron Jones Sr.,MIN,RB,6,114,111,7.4,117.8
Pittsburgh Steelers,PIT,DST,,,112,,120.9
Jakobi Meyers,JAC,WR,7,105,113,5.8,121.3
Isaiah Likely,NYG,TE,8,121,114,5.6,122.8
Ka'imi Fairbairn,HOU,K,,,115,,124.1
Kyle Monangai,CHI,RB,10,117,116,6.0,125.3
Jordan Addison,MIN,WR,6,102,117,5.5,125.3
Chris Godwin Jr.,TB,WR,10,66,118,4.6,125.7
