RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,WR1,6,1,4,1.67,1.04,
2,1,Bijan Robinson,ATL,RB1,11,1,7,3.06,1.49,
3,1,Puka Nacua,LAR,WR2,11,1,8,3.24,1.32,
4,1,Jahmyr Gibbs,DET,RB2,6,1,7,3.92,1.80,
5,1,Jaxon Smith-Njigba,SEA,WR3,11,1,7,4.21,1.18,
6,2,Amon-Ra St. Brown,DET,WR4,6,4,9,5.97,1.39,
7,2,Christian McCaffrey,SF,RB3,8,2,21,8.89,4.09,
8,2,Justin Jefferson,MIN,WR5,6,4,19,9.11,2.28,
9,2,CeeDee Lamb,DAL,WR6,14,6,19,9.21,2.46,
10,2,Jonathan Taylor,IND,RB4,13,5,24,11.27,4.16,
11,2,Drake London,ATL,WR7,11,8,19,11.81,2.43,
12,3,Nico Collins,HOU,WR8,8,9,28,15.16,3.75,
13,3,A.J. Brown,NE,WR9,11,8,42,15.60,5.99,
14,3,Ashton Jeanty,LV,RB5,13,7,31,16.06,5.74,
15,3,James Cook III,BUF,RB6,7,7,34,18.35,7.03,
16,3,George Pickens,DAL,WR10,14,12,33,18.86,4.22,
17,3,Chris Olave,NO,WR11,8,11,35,18.90,5.33,
18,3,De'Von Achane,MIA,RB7,6,5,39,19.37,6.87,
19,3,Trey McBride,ARI,TE1,14,16,66,19.46,9.00,
20,3,Brock Bowers,LV,TE2,13,12,32,20.83,3.01,
21,3,Chase Brown,CIN,RB8,6,10,33,21.03,4.85,
22,3,Rashee Rice,KC,WR12,5,11,48,22.67,9.20,
23,4,Josh Allen,BUF,QB1,7,21,31,25.22,1.25,
24,4,Omarion Hampton,LAC,RB9,7,10,53,25.52,8.02,
25,4,DeVonta Smith,PHI,WR13,10,11,52,25.68,8.97,
26,4,Saquon Barkley,PHI,RB10,10,10,46,27.35,7.37,
27,4,Tetairoa McMillan,CAR,WR14,5,15,49,29.57,8.58,
28,4,Garrett Wilson,NYJ,WR15,13,19,47,29.97,6.13,
29,4,Kenneth Walker III,KC,RB11,5,14,53,31.46,7.52,
30,4,Tee Higgins,CIN,WR16,6,18,51,33.25,7.68,
31,4,Zay Flowers,BAL,WR17,13,11,52,33.35,8.56,
32,4,Lamar Jackson,BAL,QB2,13,23,63,33.89,10.80,
33,4,Drake Maye,NE,QB3,11,27,65,34.08,9.48,
34,4,Jeremiyah Love,ARI,RB12,14,22,65,34.87,7.01,
35,4,Malik Nabers,NYG,WR18,8,11,71,35.30,13.09,
36,4,Ladd McConkey,LAC,WR19,7,15,51,35.73,6.52,
37,5,Jaylen Waddle,DEN,WR20,10,18,52,38.14,7.94,
38,5,Colston Loveland,CHI,TE3,10,22,97,38.46,13.53,
39,5,Derrick Henry,BAL,RB13,13,13,56,39.52,7.74,
40,5,Emeka Egbuka,TB,WR21,10,14,64,41.37,10.06,
41,5,Breece Hall,NYJ,RB14,13,31,75,41.95,6.51,
42,5,Kyren Williams,LAR,RB15,11,23,56,43.05,7.28,
43,5,Terry McLaurin,WAS,WR22,7,28,64,43.54,7.71,
44,5,Joe Burrow,CIN,QB4,6,27,98,43.67,13.36,
45,5,Josh Jacobs,GB,RB16,11,24,61,44.19,6.92,
46,5,Luther Burden III,CHI,WR23,10,28,88,44.40,8.38,
47,5,Travis Etienne Jr.,NO,RB17,8,24,75,46.81,8.40,
48,5,Javonte Williams,DAL,RB18,14,34,61,47.76,6.40,
49,5,Davante Adams,LAR,WR24,11,40,69,49.21,6.09,
50,5,DJ Moore,BUF,WR25,7,20,81,52.79,10.75,
51,5,Tyler Warren,IND,TE4,13,32,73,52.97,10.86,
52,5,Jameson Williams,DET,WR26,6,42,69,53.43,6.30,
53,5,Mike Evans,SF,WR27,8,38,107,53.73,12.68,
54,6,Cam Skattebo,NYG,RB19,8,39,80,56.08,8.76,
55,6,Jayden Daniels,WAS,QB5,7,30,92,56.79,14.33,
56,6,Christian Watson,GB,WR28,11,42,90,57.57,11.30,
57,6,Bucky Irving,TB,RB20,10,35,78,58.63,8.80,
58,6,Jalen Hurts,PHI,QB6,10,27,104,59.08,15.13,
59,6,TreVeyon Henderson,NE,RB21,11,33,86,59.81,11.45,
60,6,Rome Odunze,CHI,WR29,10,38,94,60.68,10.05,
61,6,Quinshon Judkins,CLE,RB22,11,39,78,60.81,8.67,
62,6,D'Andre Swift,CHI,RB23,10,47,78,62.32,7.41,
63,6,Carnell Tate,TEN,WR30,9,38,218,64.60,26.30,
64,6,David Montgomery,HOU,RB24,8,45,122,66.14,13.24,
65,6,Caleb Williams,CHI,QB7,10,30,101,67.30,14.16,
66,6,Marvin Harrison Jr.,ARI,WR31,14,45,121,68.90,15.08,
67,6,Justin Herbert,LAC,QB8,7,40,108,70.25,13.22,
68,6,Tucker Kraft,GB,TE5,11,54,106,73.38,10.88,
69,6,Bhayshul Tuten,JAC,RB25,7,47,127,73.59,13.67,
70,6,Jaylen Warren,PIT,RB26,9,65,89,73.89,5.49,
71,6,Alec Pierce,IND,WR32,13,38,110,74.25,13.42,
72,6,Harold Fannin Jr.,CLE,TE6,11,51,106,74.57,11.21,
