PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Jahmyr Gibbs,DET,RB,6,2,1,5.5,
Bijan Robinson,ATL,RB,11,4,2,5.6,
Ja'Marr Chase,CIN,WR,6,1,3,5.4,
Puka Nacua,LAR,WR,11,3,4,5.5,
Christian McCaffrey,SF,RB,8,9,5,5.6,
Jaxon Smith-Njigba,SEA,WR,11,5,6,5.5,
Amon-Ra St. Brown,DET,WR,6,6,7,5.5,
Jonathan Taylor,IND,RB,13,10,7,5.6,
CeeDee Lamb,DAL,WR,14,7,9,5.5,
James Cook III,BUF,RB,7,13,10,5.6,
Justin Jefferson,MIN,WR,6,8,11,5.4,
De'Von Achane,MIA,RB,6,20,12,5.7,
Saquon Barkley,PHI,RB,10,22,13,6.0,
Ashton Jeanty,LV,RB,13,28,14,6.1,
Omarion Hampton,LAC,RB,7,25,15,5.9,
Chase Brown,CIN,RB,6,15,16,5.4,
Drake London,ATL,WR,11,11,17,5.3,
A.J. Brown,NE,WR,11,12,18,5.4,
Kenneth Walker III,KC,RB,5,23,19,5.8,
Derrick Henry,BAL,RB,13,38,20,6.0,
Trey McBride,ARI,TE,14,17,21,5.4,
Josh Allen,BUF,QB,7,26,22,5.7,
Brock Bowers,LV,TE,13,18,23,5.4,
George Pickens,DAL,WR,14,19,23,5.4,
Nico Collins,HOU,WR,8,14,25,5.0,
Jeremiyah Love,ARI,RB,14,40,26,6.1,
Rashee Rice,KC,WR,5,27,27,5.3,
Malik Nabers,NYG,WR,8,24,28,5.3,
Kyren Williams,LAR,RB,11,42,29,6.3,
Chris Olave,NO,WR,8,16,30,4.8,
Josh Jacobs,GB,RB,11,135,31,9.5,
Lamar Jackson,BAL,QB,13,31,32,5.6,
Breece Hall,NYJ,RB,13,39,33,5.6,
Tee Higgins,CIN,WR,6,35,34,5.7,
Javonte Williams,DAL,RB,14,43,35,5.8,
DeVonta Smith,PHI,WR,10,21,36,4.7,
Tetairoa McMillan,CAR,WR,5,36,37,5.4,
Ladd McConkey,LAC,WR,7,32,38,5.3,
Colston Loveland,CHI,TE,10,34,39,5.5,
Emeka Egbuka,TB,WR,10,41,40,5.6,
Bucky Irving,TB,RB,10,55,41,6.2,
Zay Flowers,BAL,WR,13,29,42,4.8,
Cam Skattebo,NYG,RB,8,57,43,5.9,
Travis Etienne Jr.,NO,RB,8,45,44,5.5,
Garrett Wilson,NYJ,WR,13,30,45,4.5,
Jaylen Waddle,DEN,WR,10,33,46,4.9,
Drake Maye,NE,QB,11,37,47,5.3,
Tyler Warren,IND,TE,13,52,48,5.6,
David Montgomery,HOU,RB,8,61,49,6.2,
Davante Adams,LAR,WR,11,48,50,5.3,
Joe Burrow,CIN,QB,6,44,51,5.5,
Luther Burden III,CHI,WR,10,46,52,5.4,
TreVeyon Henderson,NE,RB,11,69,53,6.4,
Quinshon Judkins,CLE,RB,11,62,54,5.7,
Terry McLaurin,WAS,WR,7,47,55,5.1,
D'Andre Swift,CHI,RB,10,50,56,5.3,
DJ Moore,BUF,WR,7,49,57,5.3,
Jameson Williams,DET,WR,6,53,58,5.3,
Sam LaPorta,DET,TE,6,82,59,6.8,
Jalen Hurts,PHI,QB,10,56,60,5.4,
Mike Evans,SF,WR,8,58,61,5.5,
Bhayshul Tuten,JAC,RB,7,64,62,5.6,
Jayden Daniels,WAS,QB,7,51,63,4.8,
Tucker Kraft,GB,TE,11,77,63,6.7,
Rome Odunze,CHI,WR,10,59,65,5.2,
Carnell Tate,TEN,WR,9,65,66,5.4,
Jadarian Price,SEA,RB,11,67,67,5.4,
Harold Fannin Jr.,CLE,TE,11,70,68,5.6,
Kyle Pitts Sr.,ATL,TE,11,76,69,5.8,
Christian Watson,GB,WR,11,54,70,4.8,
Caleb Williams,CHI,QB,10,63,71,5.4,
Jaylen Warren,PIT,RB,9,73,72,5.8,
Brian Thomas Jr.,JAC,WR,7,78,73,5.8,
DK Metcalf,PIT,WR,9,79,74,5.6,
Marvin Harrison Jr.,ARI,WR,14,66,75,5.0,
Parker Washington,JAC,WR,7,60,76,4.6,
Chuba Hubbard,CAR,RB,5,98,77,6.7,
