PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Jahmyr Gibbs,DET,RB,6,2,1,5.5,1.2
Bijan Robinson,ATL,RB,11,4,2,5.6,2.1
Ja'Marr Chase,CIN,WR,6,1,3,5.4,3.5
Puka Nacua,LAR,WR,11,3,4,5.5,5.0
Jonathan Taylor,IND,RB,13,11,5,5.8,5.8
Christian McCaffrey,SF,RB,8,8,6,5.6,6.2
Jaxon Smith-Njigba,SEA,WR,11,5,7,5.3,7.5
Amon-Ra St. Brown,DET,WR,6,6,8,5.4,7.9
James Cook III,BUF,RB,7,13,9,5.6,9.3
Saquon Barkley,PHI,RB,10,25,10,6.3,10.9
CeeDee Lamb,DAL,WR,14,9,11,5.4,11.8
Justin Jefferson,MIN,WR,6,7,12,5.3,13.5
Kenneth Walker III,KC,RB,5,23,13,6.3,14.1
Chase Brown,CIN,RB,6,16,14,5.6,15.4
De'Von Achane,MIA,RB,6,21,15,5.6,15.8
Derrick Henry,BAL,RB,13,38,16,6.4,16.3
Omarion Hampton,LAC,RB,7,26,17,5.7,17.9
Ashton Jeanty,LV,RB,13,28,18,5.5,19.7
Nico Collins,HOU,WR,8,15,19,5.5,20.9
Drake London,ATL,WR,11,10,20,5.0,21.1
Brock Bowers,LV,TE,13,19,21,5.5,21.1
Josh Allen,BUF,QB,7,24,22,5.3,21.6
George Pickens,DAL,WR,14,18,23,5.5,22.6
A.J. Brown,NE,WR,11,12,24,4.9,24.3
Kyren Williams,LAR,RB,11,41,25,6.4,27.6
Trey McBride,ARI,TE,14,17,26,4.6,29.0
Chris Olave,NO,WR,8,14,27,5.1,29.5
DeVonta Smith,PHI,WR,10,20,28,5.4,29.5
Malik Nabers,NYG,WR,8,22,29,5.5,29.6
Jeremiyah Love,ARI,RB,14,40,30,5.8,30.2
Javonte Williams,DAL,RB,14,43,31,5.8,31.6
Breece Hall,NYJ,RB,13,39,32,5.8,34.1
Tee Higgins,CIN,WR,6,36,33,6.1,34.1
Zay Flowers,BAL,WR,13,31,34,5.5,35.3
Rashee Rice,KC,WR,5,29,35,4.7,37.7
Jaylen Waddle,DEN,WR,10,34,36,5.8,38.6
Lamar Jackson,BAL,QB,13,27,37,4.9,38.8
Colston Loveland,CHI,TE,10,35,38,5.6,39.3
Travis Etienne Jr.,NO,RB,8,46,39,5.7,41.1
Tetairoa McMillan,CAR,WR,5,37,40,5.3,42.0
Cam Skattebo,NYG,RB,8,60,41,5.9,42.8
D'Andre Swift,CHI,RB,10,52,42,6.4,44.6
Ladd McConkey,LAC,WR,7,33,43,5.2,44.8
Garrett Wilson,NYJ,WR,13,30,44,5.0,45.3
Tyler Warren,IND,TE,13,51,45,5.6,46.8
Emeka Egbuka,TB,WR,10,42,46,5.4,47.0
Drake Maye,NE,QB,11,32,47,4.7,48.4
Joe Burrow,CIN,QB,6,45,48,5.0,51.0
Bucky Irving,TB,RB,10,55,49,5.5,52.2
David Montgomery,HOU,RB,8,57,50,5.5,52.8
Jalen Hurts,PHI,QB,10,56,51,5.2,54.3
Quinshon Judkins,CLE,RB,11,62,52,5.4,54.6
Terry McLaurin,WAS,WR,7,47,53,5.6,55.8
DJ Moore,BUF,WR,7,53,54,6.0,56.6
Luther Burden III,CHI,WR,10,44,55,5.7,56.6
Jayden Daniels,WAS,QB,7,50,56,4.9,57.6
Tucker Kraft,GB,TE,11,85,57,6.7,59.2
Davante Adams,LAR,WR,11,49,58,4.9,59.4
Bhayshul Tuten,JAC,RB,7,65,59,6.2,62.1
Jadarian Price,SEA,RB,11,67,60,5.9,62.6
Sam LaPorta,DET,TE,6,82,61,5.8,62.8
Jameson Williams,DET,WR,6,48,62,5.4,64.4
Caleb Williams,CHI,QB,10,64,63,5.4,64.8
Christian Watson,GB,WR,11,54,64,6.0,67.5
Rome Odunze,CHI,WR,10,63,65,6.3,67.6
Josh Jacobs,GB,RB,11,152,66,4.3,69.9
Justin Herbert,LAC,QB,7,72,67,5.7,70.0
Harold Fannin Jr.,CLE,TE,11,70,68,4.9,70.1
TreVeyon Henderson,NE,RB,11,69,69,5.6,70.5
Mike Evans,SF,WR,8,58,70,5.6,70.9
Kyle Pitts Sr.,ATL,TE,11,77,71,5.1,71.8
Dak Prescott,DAL,QB,14,80,72,5.5,73.2
Parker Washington,JAC,WR,7,59,73,6.1,74.2
Rhamondre Stevenson,NE,RB,11,71,74,6.3,74.2
Jaylen Warren,PIT,RB,9,75,75,6.0,75.3
Marvin Harrison Jr.,ARI,WR,14,68,76,5.5,78.3
George Kittle,SF,TE,8,94,77,5.8,79.6
Trevor Lawrence,JAC,QB,7,76,78,5.5,81.1
Carnell Tate,TEN,WR,9,61,79,4.7,83.3
Brian Thomas Jr.,JAC,WR,7,78,80,5.9,83.9
MarShawn Lloyd,GB,RB,11,99,81,9.7,84.0
DK Metcalf,PIT,WR,9,74,82,5.4,84.7
Tony Pollard,TEN,RB,9,84,83,5.7,86.6
Los Angeles Rams,LAR,DEF,,,84,,87.1
Rico Dowdle,PIT,RB,9,81,85,5.6,87.7
Brandon Aubrey,DAL,K,,,86,,89.0
Jonathon Brooks,CAR,RB,5,87,87,6.8,89.6
Chuba Hubbard,CAR,RB,5,100,88,5.8,91.1
Chris Godwin Jr.,TB,WR,10,66,89,5.7,93.5
J.K. Dobbins,DEN,RB,10,104,90,6.8,94.1
Travis Kelce,KC,TE,5,90,91,3.4,95.1
Dalton Kincaid,BUF,TE,7,107,92,5.6,95.2
Jaxson Dart,NYG,QB,8,101,93,4.8,95.4
Houston Texans,HOU,DEF,,,94,,95.7
Brock Purdy,SF,QB,8,92,95,5.3,97.4
Alec Pierce,IND,WR,13,106,96,5.3,98.2
Bo Nix,DEN,QB,10,97,97,5.2,98.2
Matthew Stafford,LAR,QB,11,110,98,4.9,99.0
Blake Corum,LAR,RB,11,113,99,7.1,100.0
Michael Wilson,ARI,WR,14,88,100,5.3,101.0
Josh Downs,IND,WR,13,89,101,6.3,103.2
Dallas Goedert,PHI,TE,10,126,102,5.7,103.4
Denver Broncos,DEN,DEF,,,103,,104.5
Jacory Croskey-Merritt,WAS,RB,7,111,104,7.2,104.6
Quentin Johnston,LAC,WR,7,86,105,6.1,105.3
Patrick Mahomes II,KC,QB,5,98,106,3.9,105.8
Jordyn Tyson,NO,WR,8,135,107,4.8,107.6
Stefon Diggs,WAS,WR,7,95,108,6.4,108.0
De'Zhaun Stribling,SF,WR,8,131,109,8.3,108.3
Isaiah Likely,NYG,TE,8,121,110,5.4,108.5
Courtland Sutton,DEN,WR,10,79,111,3.7,109.3
Seattle Seahawks,SEA,DEF,,,112,,109.9
Jordan Mason,MIN,RB,6,120,113,6.9,110.5
Jared Goff,DET,QB,6,103,114,5.3,111.0
RJ Harvey,DEN,RB,10,91,115,4.5,111.8
Jayden Reed,GB,WR,11,96,116,5.7,113.0
Mark Andrews,BAL,TE,13,129,117,4.9,113.7
Kyler Murray,MIN,QB,6,109,118,5.8,113.8
Kyle Monangai,CHI,RB,10,117,119,5.7,113.9
Aaron Rodgers,PIT,QB,,,120,,114.1
Jordan Addison,MIN,WR,6,102,121,5.8,114.9
Ricky Pearsall,SF,WR,,,122,,115.1
Brian Robinson Jr.,ATL,RB,11,165,123,5.2,116.2
Fernando Mendoza,LV,QB,,,124,,116.6
Jake Ferguson,DAL,TE,14,122,125,3.3,117.8
Ka'imi Fairbairn,HOU,K,,,126,,119.1
Cooper Kupp,SEA,WR,11,194,127,3.3,119.2
Juwan Johnson,NO,TE,8,128,128,5.3,119.8
Bryce Young,CAR,QB,5,159,129,5.2,120.3
Makai Lemon,PHI,WR,10,108,130,5.0,120.5
Jordan Love,GB,QB,11,115,131,6.4,121.0
Kenny Gainwell,TB,RB,10,93,132,4.4,121.4
Sam Darnold,SEA,QB,11,137,133,5.5,121.8
KC Concepcion Jr.,CLE,WR,11,112,134,6.6,121.9
Cam Ward,TEN,QB,9,145,135,4.8,121.9
Michael Pittman Jr.,PIT,WR,9,73,136,3.4,122.0
Ray Davis,BUF,RB,7,176,137,7.1,122.4
Jason Myers,SEA,K,,,138,,122.5
David Njoku,LAC,TE,,,139,,122.8
